image_path,text_snippet,tag_abstract,ed_level_primary,religious_participation,audio_path,time_series_data,survey_anxiety,survey_control,survey_hope,city,state
data/images/medicaid_letter.jpg,I missed my Medicaid renewal deadline because the letter looked exactly like junk mail. Now I have to start over and explain everything again.,Cognitive Load/Administrative Overwhelm,High School,None,,"{time"": [1",2,3,4,Detroit,Michigan
data/images/kitchen_table.jpg,"The kitchen table is buried under old bills, school papers, and unopened junk mail. I can't tell which ones are important and which ones can wait.",Cognitive Load,No Diploma,None,,"{time"": [1",2,3,4,Los Angeles,California
data/images/government_office.jpg,I spent three hours waiting in the government office; the fluorescent lights gave me a headache. Then they told me I needed a different form.,Dignity Deprivation/Administrative Burden,College,None,,"{time"": [1",2,3,4,Chicago,Illinois
data/images/clinic_staff.jpg,The clinic staff made me explain my financial situation three times to three different people. Each time felt like another small piece of my dignity being stripped away.,Dignity Deprivation/Systemic Frustration,High School,None,,"{time"": [1",2,3,4,Houston,Texas
data/images/community_center.jpg,"I walked a mile to the community center only to find out the list of acceptable IDs had changed again. I had the right documents last month, but not anymore.",Systemic Frustration/Dignity Deprivation,No Diploma,None,,"{time"": [1",2,3,4,Phoenix,Arizona
data/images/bus_appointment.jpg,"The bus service doesn't run early enough for me to make my 8 AM doctor's appointment. I had to cancel and reschedule, which means another month of waiting.",Logistical Friction/Healthcare Barrier,High School,None,,"{time"": [1",2,3,4,Philadelphia,Pennsylvania
data/images/invisible_labor.jpg,"I've become a master of invisible labor—the hours spent on hold, the bus rides to offices that close before I arrive, the paperwork that requires paperwork. This work has no name and no value.",Invisible Labor/Time Theft,No Diploma,Low (Monthly),,"{time"": [1",2,3,4,San Antonio,Texas
data/images/food_pantry_time.jpg,"The food pantry is only open for two hours on Tuesday morning, which means I have to skip a shift. I can't afford to lose the hours, but we need the food.",Time Poverty/Instrumental Barrier,High School,Low (Monthly),,"{time"": [1",2,3,4,San Diego,California
data/images/snap_card.jpg,"I avoid using my SNAP card at the supermarket because I hate the judgment I get from other shoppers. I can see them watching, calculating, judging.",Stigma/Dignity Deprivation,College,Low (Monthly),,"{time"": [1",2,3,4,Dallas,Texas
data/images/performance_violence.jpg,"Every interaction with a system is designed to make me prove I'm human enough to deserve help. I perform desperation, I perform gratitude, I perform worthiness. The performance is the violence.",Institutional Violence/Performativity,High School,None,,"{time"": [1",2,3,4,San Jose,California
data/images/trauma_currency.jpg,"I've learned that my trauma is currency. To access resources, I must narrate my suffering in ways that make others comfortable. My pain becomes a story for their consumption.",Trauma Commodification/Systemic Exploitation,No Diploma,Low (Monthly),,"{time"": [1",2,3,4,Austin,Texas
data/images/social_worker.jpg,"The social worker's tone shifts when she sees my file. I can hear the judgment in her voice—not enough, too much, wrong choices. I've become a case study, not a person.",Dehumanization/Institutional Objectification,College,None,,"{time"": [1",2,3,4,Jacksonville,Florida
data/images/voice_smaller.jpg,"I've learned to make my voice smaller in public spaces, to apologize for existing. Poverty taught me that my presence is an inconvenience to others.",Internalized Oppression/Identity Erosion,High School,None,,"{time"": [1",2,3,4,Fort Worth,Texas
data/images/eviction_fear.jpg,"We might have to move next month; the constant fear of eviction makes it impossible to sleep. Every noise could be the landlord, every letter could be the notice.",Housing Insecurity Stress,No Diploma,None,,"{time"": [1",2,3,4,Columbus,Ohio
data/images/eviction_notice_public.jpg,"The eviction notice taped to the door, knowing the children will see it when they come home from school. This is what shame looks like when it's public.",Dignity Deprivation/Public Shame,High School,None,,"{time"": [1",2,3,4,Charlotte,North Carolina
data/images/time_circles.jpg,"Time doesn't move forward for us; it circles. Every month is the same impossible choices, the same calculations, the same fear. We're trapped in a loop of survival.",Temporal Entrapment/Chronicity,College,None,,"{time"": [1",2,3,4,San Francisco,California
data/images/daughter_question.jpg,"My daughter asked why we can't have what other families have, and I had to explain that it's not because we're bad people, but the words felt hollow even as I said them.",Intergenerational Shame/Identity Formation,No Diploma,Low (Monthly),,"{time"": [1",2,3,4,Indianapolis,Indiana
data/images/grandmother_hands.jpg,My grandmother's hands show the same exhaustion I see in mine. We're three generations of women who've learned that rest is a luxury we can't afford. The pattern is the inheritance.,Intergenerational Exhaustion/Pattern Recognition,No Diploma,High (Weekly),,"{time"": [1",2,3,4,Seattle,Washington
data/images/son_hides.jpg,"My son has learned to hide his needs. He sees me calculating, sees me choosing, sees me breaking. He's eight years old and already understands the economics of scarcity.",Intergenerational Trauma/Childhood Premature Awareness,College,None,,"{time"": [1",2,3,4,Denver,Colorado
data/images/children_wait.jpg,My children are learning that time is not theirs. They wait. They adapt. They understand that their needs are secondary to the system's schedule.,Intergenerational Time Poverty,High School,None,,"{time"": [1",2,3,4,Boston,Massachusetts
data/images/hope_dangerous.jpg,"Hope has become dangerous. Every time I let myself imagine a different future, the crash back to reality is more devastating. I've learned to kill my own dreams preemptively.",Hope Suppression/Cognitive Protection,College,None,,"{time"": [1",2,3,4,El Paso,Texas
data/images/prayer_resignation.jpg,"I pray for strength, but I also pray for the strength to accept that this might be all there is. Faith and resignation have become the same prayer.",Religious Coping Mechanism,No Diploma,High (Weekly),,"{time"": [1",2,3,4,Nashville,Tennessee
data/images/god_plan.jpg,"The church tells me God has a plan, but I look at my children and wonder what kind of plan requires them to go hungry. The cognitive dissonance is crushing.",Religious Coping Mechanism,High School,High (Weekly),,"{time"": [1",2,3,4,Detroit,Michigan
data/images/prayer_strength.jpg,I just pray every morning that I get the strength to face another day. It's the only peace I have.,Community Support,No Diploma,High (Weekly),,"{time"": [1",2,3,4,Oklahoma City,Oklahoma
data/images/church_performance.jpg,"The church community feeds us, but I can't tell them about the shame of needing it. I perform gratitude while hiding the parts of myself that don't fit their narrative of resilience.",Community Support,No Diploma,High (Weekly),,"{time"": [1",2,3,4,Portland,Oregon
data/images/church_foodbank.jpg,The church runs the food bank every Friday at 4 PM. It's the one reliable source of fresh produce we have.,Community Support,High School,High (Weekly),,"{time"": [1",2,3,4,Las Vegas,Nevada
data/images/pastor_seen.jpg,It's a comfort to know the pastor knows my name and my struggle. I feel seen.,Community Support,No Diploma,High (Weekly),,"{time"": [1",2,3,4,Memphis,Tennessee
data/images/debt_shadow.jpg,"No matter how much I work, the debt always follows me like a shadow. I can't catch up.",Systemic Frustration,College,None,,"{time"": [1",2,3,4,Louisville,Kentucky
data/images/bill_explosion.jpg,Every bill that comes in the mail is a small explosion of fear. Will the water stay on?,Cognitive Load,High School,None,,"{time"": [1",2,3,4,Baltimore,Maryland
data/images/car_prescription.jpg,I had to choose between fixing the car or buying my son's prescription this month.,Trade-off Stress,No Diploma,Low (Monthly),,"{time"": [1",2,3,4,Milwaukee,Wisconsin
data/images/no_future.jpg,"The hardest part isn't the hunger, it's feeling like I have no future to give my children.",Hopelessness/Intergenerational Stress,High School,Low (Monthly),,"{time"": [1",2,3,4,Albuquerque,New Mexico
